year,value,type
1990.625,55.7306040127,specint
1994.75961538,598.885433492,specint
1996.15384615,973.377380904,specint
1996.15384615,5473.70326288,transistors
1996.15384615,33.3762469429,watts
1997.59615385,827.882590628,specint
1998.89423077,3554.52235561,specint
1998.89423077,15261.3780258,transistors
1998.89423077,90.5797775943,watts
2002.83653846,8659.6432336,specint
2002.83653846,62.0824360719,watts
2003.65384615,13335.2143216,specint
2003.65384615,106498.563535,transistors
2003.65384615,88.1683066776,watts
2005.76923077,17000.7761882,specint
2006.92307692,21096.9051341,specint
2006.92307692,245824.406892,transistors
2006.92307692,125.214968907,watts
2006.97115385,35226.9465147,specint
2006.97115385,582941.534714,transistors
2006.97115385,74.9894209332,watts
2007.78846154,31622.7766017,specint
2007.78846154,805842.187761,transistors
2007.78846154,100.903504484,watts
1972.30769231,3.55452235561,transistors
1972.30769231,0.421696503429,watts
2001.82692308,37180.2666391,transistors
2001.82692308,57.2548788436,watts
2008.22115385,445079.406236,transistors
2008.22115385,95.6023901095,watts
2010.38461538,1309747.2643,transistors
2010.38461538,168.485487944,watts
1996.29807692,30.7808954655,watts
2009.56730769,95.6023901095,watts
